



Feature_Name	Target	Diameter	Center_Latitude	Center_Longitude	Coordinate_System	Approval_Status	Approval_Date	Origin	 
Aconia	Vesta	19	7.54	151.37	Planetocentric  +East  0 - 360	Approved	Feb 5, 2014	Fabia Aconia Paulina; Roman aristocratic woman, wife of Praetextatus (d. c. 384).	
Aelia	Vesta	4.34	-14.26	290.8	Planetocentric  +East  0 - 360	Approved	Feb 28, 2012	Aelia Oculata; Roman vestal virgin (c. 83).	
Africana	Vesta	25.43	68.99	345.87	Planetocentric  +East  0 - 360	Approved	Feb 5, 2014	Cornelia Africana; Roman noblewoman, wife of Tiberus Gracchus Major, mother of Tiberus and Gaius Gracchus (c. 190-100 B.C.).	
Agonium Rupes	Vesta	111.28	-53.47	316.08	Planetocentric  +East  0 - 360	Approved	Dec 27, 2011	Roman festival celebrated several times a year; on this day the Rex sacrorum offered a ram in the Regia.	
Albalonga Catena	Vesta	161.74	-7.17	72.61	Planetocentric  +East  0 - 360	Approved	Nov 21, 2012	Alba Longa (usually identified with Castel Gandolfo), in the Alban Hills, 25 km SE of Rome. Ancient city founded by Ascanius.	
Albana	Vesta	90.86	76.61	200.69	Planetocentric  +East  0 - 360	Approved	Nov 21, 2012	Roman vestal virgin.	
Albia	Vesta	5.79	-27.85	78.85	Planetocentric  +East  0 - 360	Approved	Feb 5, 2014	Albia Dominica; Roman noblewoman, wife of Emperor Valens (c. 337–378).	
Alypia	Vesta	15.17	-70.22	139.22	Planetocentric  +East  0 - 360	Approved	Feb 5, 2014	Roman noblewoman, daughter of Anthemius and Aelia Euphemia, wife of Ricimer (fl. 467-472).	
Angioletta	Vesta	18.42	-40.16	179.25	Planetocentric  +East  0 - 360	Approved	Oct 7, 2014	Angioletta Coradini; Italian planetary scientist (1946-2011).	
Antonia	Vesta	16.75	-58.7	350.78	Planetocentric  +East  0 - 360	Approved	Feb 28, 2012	Famous Roman woman, daughter of M. Antonius and Octavia, wife of Drusus, mother of Germanicus, Livilla, and Emperor Claudius (36 B.C. - A.D. 37).	
Aquilia	Vesta	36.82	-49.41	190.88	Planetocentric  +East  0 - 360	Approved	Feb 28, 2012	Julia Aquilia Severa; Roman vestal virgin (c. 218).	
Aricia Tholus	Vesta	39.02	13.38	311.55	Planetocentric  +East  0 - 360	Approved	Dec 27, 2011	City at the foot of Albanus Mons, once a powerful city in early Latium (present-day Ariccia).	
Arruntia	Vesta	10.49	39.44	221.59	Planetocentric  +East  0 - 360	Approved	Feb 28, 2012	Roman vestal virgin (c. 70 B.C.).	
Bellicia	Vesta	41.68	37.73	197.76	Planetocentric  +East  0 - 360	Approved	Sep 30, 2011	Roman vestal virgin (c. 3rd century).	
Brumalia Tholus	Vesta	48.21	-6.31	64.99	Planetocentric  +East  0 - 360	Approved	Nov 21, 2012	Roman festival of Bacchus celebrated on the day of the winter solstice.	
Bruttia	Vesta	20.68	63.81	237.09	Planetocentric  +East  0 - 360	Approved	Feb 5, 2014	Bruttia Crispina; Roman Empress, wife of Emperor Commodus (164-191).	
Caesonia	Vesta	104.23	31.2	249.93	Planetocentric  +East  0 - 360	Approved	Feb 5, 2014	Atia Balba Caesonia; Roman noblewoman, daughter of Julius Ceasar’s sister, mother of Emperor Augustus (85-43 B.C.).	
Calpurnia	Vesta	50.19	16.72	349.1	Planetocentric  +East  0 - 360	Approved	Dec 27, 2011	Roman vestal virgin (c. 3rd century).	
Cannutia	Vesta	17.97	-58.93	214.73	Planetocentric  +East  0 - 360	Approved	Feb 5, 2014	Roman vestal virgin (c. 213).	
Canuleia	Vesta	11.32	-33.62	84.52	Planetocentric  +East  0 - 360	Approved	Feb 28, 2012	One of the first Roman vestal virgins.	
Caparronia	Vesta	53.2	35.71	317.03	Planetocentric  +East  0 - 360	Approved	Sep 30, 2011	Roman vestal virgin (d. 266 B.C.).	
Charito	Vesta	6.55	-44.8	90.71	Planetocentric  +East  0 - 360	Approved	Feb 5, 2014	Roman Empress, daughter of military commander Lucillianus, wife of Emperor Jovian (mid 4th century C.E.).	
Claudia	Vesta	0.57	-1.65	146	Planetocentric  +East  0 - 360	Approved	Sep 30, 2011	Roman vestal virgin (c. 143 B.C.).	
Coelia	Vesta	14.06	-1.14	239.82	Planetocentric  +East  0 - 360	Approved	Feb 5, 2014	Coelia Concordia; the last Roman vestal virgin and the last Vestalis Maxima (Chief Vestal) after the Temple of Vesta was closed in 391 (d. 406 A.D.).	
Cornelia	Vesta	14.9	-9.37	15.57	Planetocentric  +East  0 - 360	Approved	Dec 27, 2011	Roman vestal virgin (c. 23).	
Cossinia	Vesta	15.72	0.63	178.96	Planetocentric  +East  0 - 360	Approved	Feb 5, 2014	Roman vestal virgin.	
Divalia Fossae	Vesta	549.37	-9.05	196.23	Planetocentric  +East  0 - 360	Approved	Dec 27, 2011	Roman festival held on December 21 in honor of the goddess Angerona.	
Domitia	Vesta	32.99	37.62	337.96	Planetocentric  +East  0 - 360	Approved	Sep 30, 2011	Roman vestal virgin (c. 10-19).	
Domna	Vesta	13.53	-11.11	225.93	Planetocentric  +East  0 - 360	Approved	Nov 21, 2012	Julia; wife of Roman emperor Severus.	
Drusilla	Vesta	20.34	-15.05	51.22	Planetocentric  +East  0 - 360	Approved	Feb 28, 2012	Julia; famous Roman woman, second daughter of Germanicus and Agrippina, sister of Gaius (16-38).	
Eumachia	Vesta	25.78	0.14	317.06	Planetocentric  +East  0 - 360	Approved	Nov 21, 2012	Priestess and prominent citizen of Pompeii (c. 1st century).	
Eusebia	Vesta	23.44	-42.04	354.31	Planetocentric  +East  0 - 360	Approved	Feb 28, 2012	Famous Roman woman, second wife of Constantius II.	
Eutropia	Vesta	21.09	22.4	255.01	Planetocentric  +East  0 - 360	Approved	Nov 21, 2012	Wife of Maximian (c. 324).	
Fabia	Vesta	11.62	15.53	55.76	Planetocentric  +East  0 - 360	Approved	Feb 28, 2012	Roman vestal virgin (served as a vestal virgin from 73 to pre 58 B.C.).	
